Filename,Invoice Number,Date,Vendor Name,Client Name,IBAN,Total Amount,Line Items Count,Validation Status
batch1-0001.jpg,51109338,04/13/2013,"Andrews, Kirby and Valdez Becker Ltd",NOT FOUND,GB75MCRLO06841367619257,5640.17,7,Passed
batch1-0002.jpg,12847181,03/03/2012,Fitzpatrick and Sons,Duncan PLC,GB92PBPQ73499358975916,6860.45,5,Passed
batch1-0003.jpg,19471831,04/09/2014,Palmer Ltd,Net price,GBO5YUTG50853913677557,44745.59,0,Passed
batch1-0004.jpg,16273983,04/01/2017,"Reyes, Holloway and Lee",Castillo LLC,GB96VWUL52026848004193,819.06,5,Passed
batch1-0005.jpg,89969473,10/29/2016,Johnson-Martin,"Deleon, Davila and Allen",GB71GBDG68039919194335,797.91,4,Passed
batch1-0006.jpg,72128555,12/25/2013,Obrien Group,Duncan-Davis,GB71QMAA96406297569205,732.34,5,Passed
batch1-0007.jpg,11580833,11/24/2019,"Wood, Simpson and Summers",Tapia LLC,GB61VHVS67246807986062,5138.35,6,Passed
batch1-0008.jpg,74589240,12/08/2013,Hall-Boyd,Haas and Sons,GB51FSWB55572342266497,12973.88,4,Passed
batch1-0009.jpg,81978187,01/17/2013,Padilla-Miller,Johnson Ltd,GB91VPMR74805066714957,124.79,2,Passed
batch1-0010.jpg,99314100,06/25/2014,"Michael, Farrell and Lee","Collins, Barrett and Schroeder",GB20WFQR49970703277369,6573.33,2,Passed
batch1-0011.jpg,68688408,03/20/2016,Torres and Sons,"Dennis, Levy and Bowen",GB84XSNO58142814072766,91.27,2,Passed
batch1-0012.jpg,13407985,11/22/2013,"Nicholson, Miller and Webster",Mccormick and Sons,GB23TMKM50357047352524,5459.75,3,Passed
batch1-0013.jpg,57986024,10/17/2015,Schmidt LLC,Allen PLC,GBO2QDFL22211399552517,237.29,5,Passed
batch1-0014.jpg,77596491,01/31/2021,"Tran, Hurst and Rodgers",NOT FOUND,GBO4ZWCK22425880230961,22.68,1,Passed
batch1-0015.jpg,46506594,03/12/2012,Porter-Perkins,Castaneda LLC,GB49GJRS28729607,1335.86,0,Passed
batch1-0016.jpg,44456646,03/21/2015,Austin and Sons,"Delacruz, Hinton and Mckinney",GB48PIBU37974446029688,316.1,5,Passed
batch1-0017.jpg,98858130,01/28/2021,"Dominguez, Jackson and Steele","Rodriguez, Hall and Tanner",GB210JGQ49248059733020,442.07,5,Passed
batch1-0018.jpg,36187296,01/05/2017,"Lopez, Murray and Johnston",White Ltd,GB480UAZ93098629612648,518.8,0,Passed
batch1-0019.jpg,56908352,01/11/2015,"Lozano, Wang and Smith",NOT FOUND,GB68RRBM34982962207975,188.11,0,Passed
batch1-0020.jpg,15001300,02/18/2014,"Kerr, Ryan and Gomez",Mason Ltd,GB32MKCO74382010852522,327.08,0,Passed
batch1-0021.jpg,96430839,01/13/2019,"Bennett, Chavez and Vazquez",Alexander-Petersen,GB9ORYME18980824175499,4958.16,5,Passed
batch1-0022.jpg,37877758,07/02/2014,Holmes-Whitney,"Jordan, Jones and Rodriguez",GB81XDRW19367191324873,47320.32,0,Passed
batch1-0023.jpg,33102457,09/18/2018,Harris LLC,NOT FOUND,GB42MQKW89908599665710,18281.24,2,Passed
batch1-0024.jpg,65028137,01/03/2014,"Johnson, Barrett and King",Townsend-Mitchell,GB10AMVD30795287137531,98.95,1,Passed
batch1-0025.jpg,22083742,03/01/2014,"Smith, Schaefer and Gonzalez",Smith-Petersen,GB62IACN00896958403438,7920.0,1,Passed
batch1-0026.jpg,51295021,01/05/2017,Sims-Olson,Martinez-English,GB64NDCS4,9256.59,2,Passed
batch1-0027.jpg,44848471,03/26/2021,"Proctor, Levy and Willis","Roth, Morris and Schultz",GB89NZLM61247862676381,838.68,0,Passed
batch1-0028.jpg,32830026,12/20/2014,"George, Casey and Harris","Stewart, Fields and Scott",GB810UZN44807763808287,1140.24,4,Passed
batch1-0029.jpg,54661411,07/29/2020,Fitzgerald Group,NOT FOUND,GB34CHOA94863267286764,7200.53,6,Passed
batch1-0030.jpg,58379529,05/31/2011,"Dalton, Chambers and Howard",Tanner Inc,GBO3KMWL18203008008726,2667.91,0,Passed
batch1-0031.jpg,20434959,12/20/2011,"Garrett, Gonzales and Hurley","Holloway, Stanton and Dunn",GB35IHYS72111215388563,29.67,1,Passed
batch1-0032.jpg,10942693,06/13/2018,Coleman Inc,Lopez-Garcia,GB76CSSR03453199859434,21151.66,0,Passed
batch1-0033.jpg,97388190,12/13/2016,Cook Ltd,Pierce Inc,GB36VWDA36824721563097,329.84,1,Passed
batch1-0034.jpg,60456703,09/01/2016,Hines Ltd,NOT FOUND,GBO5IPNV34325216718258,373.98,2,Passed
batch1-0035.jpg,78605417,08/07/2017,Campos LLC,Wilson-Hernandez,GB17WVTT56005535188252,722.11,6,Passed
batch1-0036.jpg,94786467,11/19/2013,Campbell-Thomas,Gordon PLC,GB18QZIH7,8479.08,5,Passed
batch1-0037.jpg,61669642,11/12/2013,Carter Inc,"Torres, Sutton and Weeks",GB89DNYK55635059269556,151.38,2,Passed
batch1-0038.jpg,37060863,01/30/2021,Floyd-Figueroa,Torres and Sons,GB791BVF13930075179399,2022.82,6,Passed
batch1-0039.jpg,35593328,06/08/2011,Cruz-Carter,Alexander-Arias,GB42RIFK65000994976015,3004.96,3,Passed
batch1-0040.jpg,74980573,09/27/2015,West Group,NOT FOUND,GBO2HMXX72577746298746,173.87,3,Passed
batch1-0041.jpg,69875170,07/18/2014,"Davis, Thomas and Larson",Romero Inc,GB63MNKB15123766783579,194521.7,5,Passed
batch1-0042.jpg,86736203,05/20/2013,Potter-Gordon,Salinas Ltd,GBO4NPPR85049860720734,15574.11,6,Passed
batch1-0043.jpg,37107781,07/29/2012,Williamson-Hernandez,NOT FOUND,GB30TGFD70872253743837,2549.93,2,Passed
batch1-0044.jpg,12323459,08/04/2013,"Wright, Gonzalez and Gomez",Moore-Scott,GB33EMHE63462278604328,81.68,1,Passed
batch1-0045.jpg,34967709,01/16/2018,"Burns, King and Serrano",Bryant-Wall,GB47XEBQ87721203651804,549.98,1,Passed
batch1-0046.jpg,76778037,03/15/2021,Wilson-Todd,Smith and Sons,GB84DBNV37102667540169,759.03,4,Passed
batch1-0047.jpg,24342647,05/07/2020,"Davis, Evans and Cooper",Stephens-Goodman,GBO5CPFN10349037207241,NOT FOUND,0,Issues Found
batch1-0048.jpg,96947403,10/09/2011,Frazier-Rose,Cruz LLC,GB67TUVG95262505800602,NOT FOUND,0,Issues Found
batch1-0049.jpg,26700559,01/11/2018,Martinez PLC,NOT FOUND,GB35YDNN61347660277835,311.70,3,Passed
batch1-0050.jpg,53553822,07/24/2012,"Lee-Brown Bass, Kelly and Barnes",NOT FOUND,GB21NRBX59248288874823,23399.04,3,Passed
batch1-0051.jpg,12590251,01/17/2016,"Harrison, Tucker and Choi Logan-Rodriguez",NOT FOUND,GB13JVBI29365211218318,2034.50,5,Passed
batch1-0052.jpg,36033621,04/18/2017,Walton PLC,Mitchell and Sons,GB24XGS063736958329533,243.71,2,Passed
batch1-0053.jpg,32283117,11/05/2015,Chapman-johnson,Diaz and Sons,GB38GWQQ09778097007248,73.76,3,Passed
batch1-0054.jpg,69703455,02/06/2014,Anderson Group,"Hendricks, Hart and Miller",GB16SIAU51187417423705,4007.31,6,Passed
batch1-0055.jpg,17290430,05/27/2013,Hodge-Stokes,Hamilton Ltd,GB87UTMB32681347261430,14832.92,3,Passed
batch1-0056.jpg,13367493,02/21/2012,"Terry, Crawford and Vega",Martin-Schmidt,GB79WHIU45376170748238,494.89,6,Passed
batch1-0057.jpg,89299747,04/14/2018,"Jones, Davis and Moses",Cox LLC,GB41VOYB69288847998165,389.0,0,Passed
batch1-0058.jpg,80489404,12/21/2013,Gonzalez LLC,NOT FOUND,GB430YPG18782157635961,428.11,7,Passed
batch1-0059.jpg,93219493,05/16/2019,James PLC,Bryant-Taylor,GB71QDSH79257841046423,NOT FOUND,4,Issues Found
batch1-0060.jpg,80273553,11/26/2012,"Cohen, Saunders and Chapman","Gray, Conway and Burke",GB95GRSB31215506829816,32.83,1,Passed
batch1-0061.jpg,99106655,06/12/2017,Harris and Sons,Thomas-Vazquez,GB26VMRU44682967112758,5743.69,0,Passed
batch1-0062.jpg,60665075,01/15/2018,"Martin, Graham and Newman","Jennings, Baldwin and Collins",GB83QZYG95898598700980,84314.78,0,Passed
batch1-0063.jpg,18975369,05/26/2021,"Padilla, Mccarthy and Gonzales",Parker-Fowler,GBO2EAUQ97489615205765,154.0,1,Passed
batch1-0064.jpg,16773532,04/30/2020,"White, Young and Johnson",Net price,GB961ZZT42100305228246,4919.84,0,Passed
batch1-0065.jpg,25194747,05/19/2018,Castillo-Jones,Preston-Webster,GB490ZCG79609103385168,152.87,0,Passed
batch1-0066.jpg,77668740,01/02/2016,"Ryan, Garcia and Gregory","Hopkins, Gonzales and Mccarthy",GB61PCVV90649839145503,2.19,1,Passed
batch1-0067.jpg,94166183,08/24/2019,West-Hodges,Simmons Inc,GB10BXID06957659376976,21.56,1,Passed
batch1-0068.jpg,55149610,02/23/2012,King PLC,NOT FOUND,GB87FFBW50767480759646,2779.7,2,Passed
batch1-0069.jpg,12459784,08/19/2020,"Smith, Johnson and Ramsey",Russell-Cruz,GB87QEXA37903967899333,162.79,5,Passed
batch1-0070.jpg,48190115,02/15/2013,"Wilson, Sanders and Smith",Medina-Robinson,GB65FZFY69814810781855,1250.75,4,Passed
batch1-0071.jpg,45234802,09/06/2013,Williams-Burns,Richards-Lester,GB34RTBN99351163234844,1573.95,0,Passed
batch1-0072.jpg,72929361,06/29/2020,Dawson-Strickland,Hobbs-Stevens,GB56WEKG51144252787794,NOT FOUND,1,Issues Found
batch1-0073.jpg,58051696,11/05/2019,"Johnson, Buckley and Terry","Palmer, Chan and Salazar",GB25SPFW99639143077581,53.96,4,Passed
batch1-0074.jpg,98852451,09/02/2019,Peterson LLC,"Patterson, Pierce and Fuentes",GB94KFMA16445522709946,4151.23,3,Passed
batch1-0075.jpg,72024579,01/25/2021,Green-Snow,"Fernandez, Allison and Rodriguez",GB18TKKI91040829132844,179.75,7,Passed
batch1-0076.jpg,32530472,08/27/2015,Cooper-Fox,NOT FOUND,GB63BMAU12451382016568,170.00,1,Passed
batch1-0077.jpg,22132714,05/08/2020,Jordan-Cohen,Petersen LLC,GB13IGHG06072183702748,5295.73,7,Passed
batch1-0078.jpg,61874671,07/26/2018,Gonzales-Faulkner,Garcia-Jones,GB53QIPA71313865022785,312.93,3,Passed
batch1-0079.jpg,32357396,04/19/2020,Obrien Inc,Becker LLC,GB17RTUC13119295890169,62778.56,5,Passed
batch1-0080.jpg,66389180,07/30/2016,Mercer-Donovan,Murphy LLC,GB78TZMS02094878294026,291.92,5,Passed
batch1-0081.jpg,15288019,09/07/2014,Fernandez Ltd,Wilson-Wilson,GB88DSHK83384951793426,1.71,1,Passed
batch1-0082.jpg,31293737,12/15/2020,Nunez Inc,NOT FOUND,GB10TEWR90161825708017,371.51,6,Passed
batch1-0083.jpg,69556867,02/14/2017,Houston Group,Harding Inc,GB38GTXM19543504074798,1190.54,0,Passed
batch1-0084.jpg,69062791,02/16/2021,Torres Group,Parker-Lam,GB82IDDS24618264457119,2322.84,0,Passed
batch1-0085.jpg,62256280,11/08/2020,Myers Inc,Cook-Smith,GB76VXWW63968024546133,2970.0,1,Passed
batch1-0086.jpg,25687531,01/10/2012,"Moore, Gallagher and Villanueva","Jones, Andrade and Roth",GBO9VHTE83055247674804,1237.5,2,Passed
batch1-0087.jpg,87734908,12/19/2019,"Chase, Green and Bailey","Buckley, Wright and Chase",GB68UCAD28621555301869,6.58,1,Passed
batch1-0088.jpg,10060256,12/22/2013,Kim-Davenport,Baker-Dixon,GB29WBLP21480508497147,500.24,6,Passed
batch1-0089.jpg,40259650,06/08/2019,Medina Inc,Mills Inc,GB83WQSH89957836971047,154.1,0,Passed
batch1-0090.jpg,25532811,07/07/2016,Sandoval-Mckenzie,"Terry, Lindsey and Fox",GB39CBDD79313779866142,3541.78,6,Passed
batch1-0091.jpg,54212825,05/01/2015,Hutchinson PLC,Chapman-Long,GB39WGXJ06397307045703,551.54,7,Passed
batch1-0092.jpg,41884162,12/21/2016,Weaver Ltd,Christian-Taylor,GB96MRRH842,32.83,0,Passed
batch1-0093.jpg,57696752,10/03/2017,"Lopez-Smith Rodriguez, Grant and Green",NOT FOUND,GB46FUGV21945539731839,2032.00,2,Passed
batch1-0094.jpg,49360354,05/03/2017,Armstrong Inc,NOT FOUND,GB74SATA49913307165446,358.35,4,Passed
batch1-0095.jpg,61479635,07/02/2018,"Kelley-Thomas Green, Kelly and Matthews",NOT FOUND,GB29ZNFB26250974035092,29.95,1,Passed
batch1-0096.jpg,76229289,12/04/2018,Rodriguez and Sons,NOT FOUND,GB62DPIQ05886436296811,5149.91,3,Passed
batch1-0097.jpg,38173030,12/17/2018,Short-Dixon,"Smith, Hebert and Smith",GB44UVRX06742416736608,6208.38,0,Passed
batch1-0098.jpg,92395596,10/03/2011,"Rodriguez, White and Hernandez",Young Inc,GB36EZLG32867912781587,NOT FOUND,0,Issues Found
batch1-0099.jpg,73459321,11/19/2013,"Hernandez, English and Yoder","Manning, Parker and Fleming",GB46RYDH44304341979849,495.3,6,Passed
batch1-0100.jpg,22393723,05/22/2018,Henderson Group,NOT FOUND,GB97QQUJ87799198751492,214.35,3,Passed
batch1-0101.jpg,72761554,11/12/2014,Phillips-Bailey,"Johnson, Smith and Adkins",GB48NCKL44417412467863,5439.26,4,Passed
batch1-0102.jpg,35312696,05/11/2017,"Parker, Khan and Parker","Thompson, Terry and Johnson",GB24PPHX39330226937268,NOT FOUND,6,Issues Found
batch1-0103.jpg,60605668,09/27/2017,Foster-Beard,NOT FOUND,GB93MMKZ56548246693842,6097.29,2,Passed
batch1-0104.jpg,90188228,03/28/2016,Baker-Smith Lozano-Lindsey,NOT FOUND,GB55GDNB68373704463049,321.51,4,Passed
batch1-0105.jpg,57290992,10/03/2011,Adams PLC,"Johnson, Daniels and Ramirez",GB300LCJ81769735097340,70577.35,3,Passed
batch1-0106.jpg,98788913,11/15/2014,Salazar-Zavala,Ball and Sons,GB46WCNJ76590630326142,465.17,5,Passed
batch1-0107.jpg,40700258,12/27/2013,Maxwell Inc,"Schmidt, Brooks and Petersen",GB770GJF22133316954582,514.02,7,Passed
batch1-0108.jpg,20012449,04/22/2013,Jackson Ltd,NOT FOUND,GB17KVLY05129120946380,327.80,2,Passed
batch1-0109.jpg,26622011,01/08/2020,Campos-Hawkins,Bird-Mccormick,GB55AFUK49487852362162,986.7,1,Passed
batch1-0110.jpg,91296589,09/04/2019,"Wagner, Jensen and Key King Inc",NOT FOUND,GB83TLEL31907721124823,1517.95,2,Passed
batch1-0111.jpg,33270121,10/03/2019,"Cross, Pearson and Murillo","Francis, Baker and Nunez",GB84DYQL59826838547515,10.94,0,Passed
batch1-0112.jpg,85238418,05/03/2012,Spencer Group,Burgess Ltd,GB49PXTY42425531356244,178.83,6,Passed
batch1-0113.jpg,97022721,04/28/2019,Huff-Lowe Brown Ltd,NOT FOUND,GB42HMVW09464358261254,4014.76,5,Passed
batch1-0114.jpg,74184749,03/07/2015,Klein and Sons,NOT FOUND,GB691IFZX47543651270054,2.99,1,Passed
batch1-0115.jpg,94772624,03/01/2015,"Smith-Strickland Goodman, Rogers and Williams",NOT FOUND,GB59CAJC98323600757545,50.00,1,Passed
batch1-0116.jpg,84752922,10/16/2013,"Patrick, Strong and Miller Hernandez and Sons",NOT FOUND,GB52ZKYK20802223800526,934.90,2,Passed
batch1-0117.jpg,93053660,10/09/2014,James LLC,Barnes LLC,GB63RYEE56104620133534,375.04,0,Passed
